ts	event_type	SID	ECID	session	game_type	game_number	episode_number	level	score	lines_cleared	completed	game_duration	avg_ep_duration	zoid_sequence	evt_id	evt_data1	evt_data2	curr_zoid	next_zoid	danger_mode	evt_sequence	rots	trans	path_length	min_rots	min_trans	min_path	min_rots_diff	min_trans_diff	min_path_diff	u_drops	s_drops	prop_u_drops	initial_lat	drop_lat	avg_lat	tetrises_game	tetrises_level	agree	delaying	dropping	zoid_rot	zoid_col	zoid_row	board_rep	zoid_rep	all_diffs	all_ht	all_trans	cd_1	cd_2	cd_3	cd_4	cd_5	cd_6	cd_7	cd_8	cd_9	cleared	col_trans	column_9	cuml_cleared	cuml_eroded	cuml_wells	d_all_ht	d_max_ht	d_mean_ht	d_pits	deep_wells	eroded_cells	full_cells	jaggedness	landing_height	lumped_pits	matches	max_diffs	max_ht	max_ht_diff	max_well	mean_ht	mean_pit_depth	min_ht	min_ht_diff	move_score	nine_filled	pattern_div	pit_depth	pit_rows	pits	row_trans	tetris	tetris_progress	weighted_cells	wells
0.32056307792663574	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					tps	60	setup	L	T	False																				False	0	0	3	20																																																		
0.32063746452331543	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					das_delay	16	setup	L	T	False																				False	0	0	3	20																																																		
0.32071566581726074	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					das_repeat	6	setup	L	T	False																				False	0	0	3	20																																																		
0.32079100608825684	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					are_delay	10	setup	L	T	False																				False	0	0	3	20																																																		
0.3208656311035156	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					lc_delay	20	setup	L	T	False																				False	0	0	3	20																																																		
0.32097458839416504	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					lines_per_lvl	10	setup	L	T	False																				False	0	0	3	20																																																		
0.32105302810668945	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					intervals	[48, 43, 38, 33, 28, 23, 18, 13, 8, 6, 5, 5, 5, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1]	setup	L	T	False																				False	0	0	3	20																																																		
0.3211343288421631	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					drop_interval	2	setup	L	T	False																				False	0	0	3	20																																																		
0.3212113380432129	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					scoring	[40, 100, 300, 1200, 6000]	setup	L	T	False																				False	0	0	3	20																																																		
0.3212873935699463	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					drop_bonus	True	setup	L	T	False																				False	0	0	3	20																																																		
0.3213624954223633	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					seven_bag_switch		setup	L	T	False																				False	0	0	3	20																																																		
0.3214375972747803	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross		setup	L	T	False																				False	0	0	3	20																																																		
0.32151246070861816	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_size	15	setup	L	T	False																				False	0	0	3	20																																																		
0.32158732414245605	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_width	3	setup	L	T	False																				False	0	0	3	20																																																		
0.32166147232055664	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_frames	30	setup	L	T	False																				False	0	0	3	20																																																		
0.32173633575439453	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_tolerance	50	setup	L	T	False																				False	0	0	3	20																																																		
0.3218109607696533	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_frames_tolerance	2	setup	L	T	False																				False	0	0	3	20																																																		
0.3218865394592285	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_color	(0, 115, 10)	setup	L	T	False																				False	0	0	3	20																																																		
0.3219623565673828	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					gameover_fixcross_timeout	600	setup	L	T	False																				False	0	0	3	20																																																		
0.3220369815826416	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					calibration_points	5	setup	L	T	False																				False	0	0	3	20																																																		
0.3221118450164795	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					calibration_auto	True	setup	L	T	False																				False	0	0	3	20																																																		
0.3221867084503174	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					validation_accuracy	0.8	setup	L	T	False																				False	0	0	3	20																																																		
0.3222620487213135	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					automated_revalidation	True	setup	L	T	False																				False	0	0	3	20																																																		
0.3223531246185303	GAME_EVENT	s001	NIL	2024-5-14_10-51-4	"standard"	0	0	0	0	0					Screen X	1920	setup	L	T	False																				False	0	0	3	20																																																		
